ticker,sector,signal_type,current_price,target_price,stop_loss,buy_strength,sell_strength,volume,position_size,risk_per_share,ema_50,ema_trend,rsi,inside_bar_data,timestamp
TORNTPHARM,Pharmaceuticals,WEAK_SELL,3656.39990234375,3654.199951171875,3658.10009765625,0.0,0.02323877514436138,236,588,1.7001953125,3659.280696144051,BEARISH,46.27137395493439,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 3658.10009765625, 'mother_bar_low': 3654.199951171875, 'inside_bar_high': 3657.5, 'inside_bar_low': 3655.60009765625, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
TATAELXSI,I.T,HOLD,5571.5,5571.5,5571.5,0.0,0.0,9,0,0.0,5644.134587597136,BEARISH,38.036809815950924,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 5574.5, 'mother_bar_low': 5567.0, 'inside_bar_high': 5571.5, 'inside_bar_low': 5570.5, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
HINDALCO,Metals,HOLD,707.6500244140625,707.6500244140625,707.6500244140625,0.0,0.0,2416,0,0.0,705.7048095412529,BULLISH,62.72749467329545,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'breakout_signal': 'NONE', 'bars_since_inside': 999}",08:31:35
FEDERALBNK,Bank,WEAK_SELL,197.1199951171875,197.05999755859375,197.47000122070312,0.0,0.08862260124373,1040,2857,0.350006103515625,198.6127090169685,BEARISH,38.257240785374506,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 197.47000122070312, 'mother_bar_low': 197.05999755859375, 'inside_bar_high': 197.2899932861328, 'inside_bar_low': 197.10000610351562, 'breakout_signal': 'PENDING', 'bars_since_inside': 2}",08:31:35
ASHOKLEY,Auto,WEAK_SELL,131.50999450683594,131.02999877929688,131.64999389648438,0.0,0.05317105816143,8032,7142,0.1399993896484375,131.5860004180724,BEARISH,75.81224453821324,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 131.64999389648438, 'mother_bar_low': 131.02999877929688, 'inside_bar_high': 131.57000732421875, 'inside_bar_low': 131.5, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
TATASTEEL,Metals,HOLD,159.91000366210938,159.91000366210938,159.91000366210938,0.0,0.0,6839,0,0.0,160.753716665809,BEARISH,29.94957670769206,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 160.11000061035156, 'mother_bar_low': 159.89999389648438, 'inside_bar_high': 160.10000610351562, 'inside_bar_low': 159.91000366210938, 'breakout_signal': 'PENDING', 'bars_since_inside': 2}",08:31:35
CUMMINSIND,FMCG,WEAK_BUY,3903.199951171875,3904.5,3896.800048828125,0.08211740740552786,0.0,4360,156,6.39990234375,3867.6103411664385,BULLISH,58.02090005673395,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 3904.5, 'mother_bar_low': 3896.800048828125, 'inside_bar_high': 3904.0, 'inside_bar_low': 3901.199951171875, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
BHARATFORG,Industrials,HOLD,1129.800048828125,1129.800048828125,1129.800048828125,0.0,0.0,1763,0,0.0,1151.333695956302,BEARISH,6.395225050034767,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1130.5, 'mother_bar_low': 1128.699951171875, 'inside_bar_high': 1130.0, 'inside_bar_low': 1129.5999755859375, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
TATACOMM,Telecom,WEAK_SELL,1602.800048828125,1601.300048828125,1606.800048828125,0.0,0.12447099447492826,246,250,4.0,1613.2639763995953,BEARISH,64.34117329775304,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 1606.800048828125, 'mother_bar_low': 1601.300048828125, 'inside_bar_high': 1603.5999755859375, 'inside_bar_low': 1601.9000244140625, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:36
LT,Realty,HOLD,3587.699951171875,3587.699951171875,3587.699951171875,0.0,0.0,1453,0,0.0,3611.9735023375465,BEARISH,21.760888960986293,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 3588.0, 'mother_bar_low': 3582.10009765625, 'inside_bar_high': 3587.699951171875, 'inside_bar_low': 3586.60009765625, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:36
M&M,Auto,HOLD,3400.89990234375,3400.89990234375,3400.89990234375,0.0,0.0,3963,0,0.0,3389.8224048133225,BULLISH,60.820069627503976,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 3401.60009765625, 'mother_bar_low': 3394.10009765625, 'inside_bar_high': 3400.89990234375, 'inside_bar_low': 3396.39990234375, 'breakout_signal': 'PENDING', 'bars_since_inside': 3}",08:31:36
SIEMENS,FMCG,HOLD,3198.800048828125,3198.800048828125,3198.800048828125,0.0,0.0,760,0,0.0,3198.3083343871112,BULLISH,30.053675857219588,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'breakout_signal': 'NONE', 'bars_since_inside': 999}",08:31:36
BOSCHLTD,Auto,HOLD,39285.0,39285.0,39285.0,0.0,0.0,15,0,0.0,39598.152752795926,BEARISH,46.496815286624205,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 39300.0, 'mother_bar_low': 39250.0, 'inside_bar_high': 39285.0, 'inside_bar_low': 39255.0, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:36
BPCL,Industrials,HOLD,317.3500061035156,317.3500061035156,317.3500061035156,0.0,0.0,5457,0,0.0,319.0403588541351,BEARISH,53.932669030359975,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 317.54998779296875, 'mother_bar_low': 317.04998779296875, 'inside_bar_high': 317.45001220703125, 'inside_bar_low': 317.1499938964844, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:36
TATAMOTORS,Auto,WEAK_SELL,680.0499877929688,679.7999877929688,680.5,0.0,0.03306482050192873,8520,2222,0.45001220703125,686.2270276646241,BEARISH,34.57437828712422,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 680.5, 'mother_bar_low': 679.7999877929688, 'inside_bar_high': 680.0999755859375, 'inside_bar_low': 680.0, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:36
